agency, firename, lat, lon, startdate, hectares, stage_of_control
bc, R31410, 54.463, -127.379, 2021-07-04 12:00:00, 0.01, New
bc, K51356, 49.1472, -119.617, 2021-07-03 12:00:00, 0.009, UC
bc, K41330, 50.0521, -118.437, 2021-07-03 12:00:00, 0.12, UC
bc, K41430, 50.5889, -118.592, 2021-07-04 12:00:00, 0.009, New
bc, N21319, 50.2717, -115.715, 2021-07-02 12:00:00, 5, BH
bc, K21229, 50.7053, -120.273, 2021-07-01 12:00:00, 0.009, UC
bc, G91035, 59.1971, -121.547, 2021-06-29 12:00:00, 3, BH
bc, K21353, 51.4029, -119.472, 2021-07-03 12:00:00, 0.009, OC
bc, C51355, 52.4864, -125.677, 2021-07-03 12:00:00, 75, OC
bc, C21418, 51.4245, -122.057, 2021-07-04 12:00:00, 0.3, New
bc, K51423, 49.184, -119.515, 2021-07-04 12:00:00, 45, New
bc, C51419, 51.9427, -123.474, 2021-07-04 12:00:00, 0.6, New
bc, K41283, 50.1285, -118.421, 2021-07-02 12:00:00, 15.2, OC
bc, K41277, 50.014, -118.463, 2021-07-02 12:00:00, 27, BH
bc, N21360, 50.0663, -116.379, 2021-07-03 12:00:00, 40, OC
bc, K21361, 51.794, -119.72, 2021-07-03 12:00:00, 0.009, OC
bc, V11341, 53.3154, -132.121, 2021-07-03 12:00:00, 1.9, UC
bc, C41146, 51.8059, -120.795, 2021-07-01 12:00:00, 35, OC
bc, C41113, 51.9061, -120.876, 2021-06-30 12:00:00, 27, OC
bc, C41147, 51.933, -120.993, 2021-07-01 12:00:00, 35, OC
bc, N71245, 49.3163, -116.881, 2021-07-02 12:00:00, 29, OC
bc, G11185, 54.7743, -123.196, 2021-07-01 12:00:00, 2, BH
bc, K21231, 50.4595, -120.374, 2021-07-01 12:00:00, 0.009, UC
bc, C11170, 53.3561, -124.018, 2021-07-01 12:00:00, 5, BH
bc, K21372, 50.7275, -121.159, 2021-07-03 12:00:00, 0.5, UC
bc, N51165, 49.2817, -117.668, 2021-07-01 12:00:00, 20, BH
bc, C11179, 52.6452, -123.39, 2021-07-01 12:00:00, 47.3, OC
bc, K41367, 50.5471, -118.787, 2021-07-03 12:00:00, 0.6, OC
bc, N51366, 50.4396, -117.806, 2021-07-03 12:00:00, 0.009, OC
bc, C41418, 51.4245, -122.057, 2021-07-04 12:00:00, 0.5, New
bc, C41431, 51.4567, -121.775, 2021-07-04 12:00:00, 0.3, New
bc, G91436, 59.1782, -125.516, 2021-07-04 12:00:00, 4.42, New
bc, G91435, 60.0073, -124.881, 2021-07-04 12:00:00, 21.4, New
bc, K21433, 51.0824, -120.61, 2021-07-04 12:00:00, 132, New
bc, C41440, 51.3497, -121.803, 2021-07-04 12:00:00, 0.009, New
bc, N21376, 50.3193, -115.748, 2021-07-03 12:00:00, 0.01, OC
bc, G91020, 57.7957, -122.865, 2021-06-29 12:00:00, 2856, BH
bc, G91181, 58.9222, -122.634, 2021-07-01 12:00:00, 0.009, BH
bc, G11200, 54.781, -122.308, 2021-07-01 12:00:00, 15, OC
bc, G11126, 53.5005, -123.974, 2021-06-30 12:00:00, 860, Fire of Note
bc, G90984, 58.85, -120.745, 2021-06-28 12:00:00, 0.5, BH
bc, G90983, 58.8656, -120.855, 2021-06-28 12:00:00, 3.8, BH
